filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
/Users/jose/Desktop/Homeassistant/__main__.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,5,[5],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
/Users/jose/Desktop/Homeassistant/__main__.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,258,[258],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
/Users/jose/Desktop/Homeassistant/__main__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,270,[270],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,[49],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,[57],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,[65],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,[73],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,[90],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,91,"[91, 92]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,141,[141],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,154,"[154, 155]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,187,[187],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,236,[236],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,249,[249],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,264,[264],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,489,[489],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/auth_store.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,490,"[490, 491]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/mfa_modules/notify.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,175,[175],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/mfa_modules/notify.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,188,[188],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/mfa_modules/notify.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,197,[197],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/mfa_modules/notify.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,205,[205],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/mfa_modules/notify.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,223,[223],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/mfa_modules/notify.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,231,"[231, 232]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
/Users/jose/Desktop/Homeassistant/auth/mfa_modules/notify.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,247,[247],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
